Website,Treatment,FP,FCP,LT,Joules,Trial
100_who,prefixed,0.0,881.0,2549.0,10.4412672,0
100_who,prefixed,0.0,1045.0,2628.0,10.965204,1
100_who,prefixed,0.0,878.0,2238.0,10.965204,2
100_who,prefixed,0.0,9711.0,19414.0,9.913428,3
100_who,prefixed,0.0,834.0,2763.0,9.913428,4
100_who,prefixed,0.0,4967.0,13270.0,28.47492,5
100_who,prefixed,0.0,1135.0,2603.0,28.47492,6
100_who,prefixed,0.0,12079.0,18911.0,18.563759999999995,7
100_who,prefixed,0.0,4599.0,4687.0,10.257264000000001,8
10_linkedin,prefixed,0.0,549.0,459.0,7.205256,0
10_linkedin,prefixed,0.0,274.0,362.0,7.189524,1
10_linkedin,prefixed,0.0,404.0,391.0,7.189524,2
10_linkedin,prefixed,0.0,1575.0,1544.0,6.890616,3
10_linkedin,prefixed,0.0,170.0,341.0,6.890616,4
10_linkedin,prefixed,0.0,349.0,318.0,8.684064000000001,5
10_linkedin,prefixed,0.0,828.0,796.0,7.0338132,6
10_linkedin,prefixed,0.0,399.0,370.0,7.0338132,7
10_linkedin,prefixed,0.0,1294.0,1262.0,7.2226404,8
14_apple,prefixed,0.0,795.0,1224.0,9.832500000000001,0
14_apple,prefixed,0.0,1787.0,2021.0,12.475476,1
14_apple,prefixed,0.0,836.0,1181.0,12.475476,2
14_apple,prefixed,0.0,761.0,1186.0,8.792827200000001,3
14_apple,prefixed,0.0,1044.0,1428.0,8.792827200000001,4
14_apple,prefixed,0.0,1560.0,1888.0,8.400888,5
14_apple,prefixed,0.0,760.0,1215.0,8.400888,6
14_apple,prefixed,0.0,888.0,1200.0,9.8032788,7
14_apple,prefixed,0.0,1426.0,1797.0,9.8032788,8
14_apple,prefixed,0.0,2731.0,3075.0,11.830464,9
15_live,prefixed,0.0,408.0,317.0,6.9236640000000005,0
15_live,prefixed,0.0,371.0,377.0,6.593216399999999,1
15_live,prefixed,0.0,1025.0,1033.0,6.593216399999999,2
15_live,prefixed,0.0,1031.0,1039.0,10.3964724,3
15_live,prefixed,0.0,411.0,426.0,12.5856,4
15_live,prefixed,0.0,710.0,722.0,12.5856,5
15_live,prefixed,0.0,245.0,392.0,147.56616000000002,6
15_live,prefixed,0.0,296.0,307.0,147.56616000000002,7
17_yahoo,prefixed,0.0,2146.0,3127.0,16.20396,0
17_yahoo,prefixed,0.0,629.0,1412.0,11.4057,1
17_yahoo,prefixed,0.0,643.0,1377.0,11.4057,2
17_yahoo,prefixed,0.0,5525.0,6427.0,11.924856,3
17_yahoo,prefixed,0.0,2164.0,2986.0,11.924856,4
17_yahoo,prefixed,0.0,590.0,1508.0,18.88272,5
17_yahoo,prefixed,0.0,565.0,1476.0,18.88272,6
17_yahoo,prefixed,0.0,1370.0,2124.0,14.566053600000002,7
17_yahoo,prefixed,0.0,684.0,1359.0,14.566053600000002,8
17_yahoo,prefixed,0.0,1886.0,2734.0,11.6758152,9
18_amazon,prefixed,0.0,549.0,1181.0,8.511012000000001,0
18_amazon,prefixed,0.0,322.0,1263.0,8.400888,1
18_amazon,prefixed,0.0,2864.0,3354.0,8.400888,2
18_amazon,prefixed,0.0,239.0,1179.0,18.559512,3
18_amazon,prefixed,0.0,2164.0,1457.0,18.559512,4
18_amazon,prefixed,0.0,809.0,1876.0,14.5396944,5
18_amazon,prefixed,0.0,415.0,1232.0,14.5396944,6
18_amazon,prefixed,0.0,572.0,1207.0,45.440784,7
19_doubleclick,prefixed,0.0,11112.0,11190.0,29.268216,0
19_doubleclick,prefixed,0.0,284.0,1044.0,7.614288,1
19_doubleclick,prefixed,0.0,6299.0,6411.0,7.614288,2
19_doubleclick,prefixed,0.0,3167.0,6320.0,15.307236000000001,3
19_doubleclick,prefixed,0.0,634.0,1429.0,15.307236000000001,4
19_doubleclick,prefixed,0.0,169.0,2768.0,7.8363287999999995,5
19_doubleclick,prefixed,0.0,2337.0,6567.0,11.5184592,6
19_doubleclick,prefixed,0.0,502.0,1600.0,46.084212,7
19_doubleclick,prefixed,0.0,1283.0,2772.0,7.8363287999999995,8
22_adobe,prefixed,0.0,408.0,1164.0,7.641648,0
22_adobe,prefixed,0.0,332.0,1134.0,7.474410000000001,1
22_adobe,prefixed,0.0,710.0,1310.0,7.474410000000001,2
22_adobe,prefixed,0.0,1418.0,1772.0,7.661484,3
22_adobe,prefixed,0.0,532.0,1143.0,7.661484,4
22_adobe,prefixed,0.0,324.0,1136.0,8.764729200000001,5
22_adobe,prefixed,0.0,1474.0,1830.0,8.764729200000001,6
22_adobe,prefixed,0.0,5916.0,5264.0,7.691187599999999,7
22_adobe,prefixed,0.0,404.0,1726.0,7.691187599999999,8
22_adobe,prefixed,0.0,379.0,4140.0,7.724412,9
23_youtu,prefixed,0.0,329.0,4273.0,11.7702288,0
23_youtu,prefixed,0.0,333.0,4232.0,11.56302,1
23_youtu,prefixed,0.0,547.0,8683.0,11.56302,2
23_youtu,prefixed,0.0,414.0,4471.0,13.167684,3
23_youtu,prefixed,0.0,342.0,4287.0,11.7544932,4
23_youtu,prefixed,0.0,350.0,4310.0,11.7544932,5
23_youtu,prefixed,0.0,310.0,6042.0,32.007456000000005,6
23_youtu,prefixed,0.0,7515.0,21785.0,32.007456000000005,7
23_youtu,prefixed,0.0,679.0,4781.0,11.9394864,8
29_wordpress,prefixed,0.0,335.0,636.0,8.5601664,0
29_wordpress,prefixed,0.0,2433.0,1387.0,9.533591999999999,1
29_wordpress,prefixed,0.0,209.0,670.0,9.533591999999999,2
29_wordpress,prefixed,0.0,3065.0,4545.0,8.49528,3
29_wordpress,prefixed,0.0,885.0,4319.0,8.49528,4
29_wordpress,prefixed,0.0,284.0,649.0,11.0124,5
29_wordpress,prefixed,0.0,1044.0,613.0,11.0124,6
29_wordpress,prefixed,0.0,850.0,3289.0,17.370612,7
29_wordpress,prefixed,0.0,5090.0,1320.0,17.370612,8
29_wordpress,prefixed,0.0,658.0,3634.0,8.715528,9
30_blogspot,prefixed,0.0,250.0,434.0,6.2928,0
30_blogspot,prefixed,0.0,734.0,825.0,14.646492,1
30_blogspot,prefixed,0.0,240.0,451.0,14.646492,2
30_blogspot,prefixed,0.0,261.0,453.0,6.76476,3
30_blogspot,prefixed,0.0,311.0,649.0,6.76476,4
30_blogspot,prefixed,0.0,1179.0,1327.0,6.371460000000001,5
30_blogspot,prefixed,0.0,260.0,479.0,6.371460000000001,6
30_blogspot,prefixed,0.0,233.0,465.0,7.8974639999999985,7
30_blogspot,prefixed,0.0,245.0,450.0,7.8974639999999985,8
30_blogspot,prefixed,0.0,496.0,571.0,18.815327999999997,9
32_bing,prefixed,0.0,339.0,274.0,5.5062,0
32_bing,prefixed,0.0,404.0,305.0,5.4407808,1
32_bing,prefixed,0.0,1226.0,1237.0,5.4407808,2
32_bing,prefixed,0.0,286.0,291.0,7.220988,3
32_bing,prefixed,0.0,281.0,286.0,7.220988,4
32_bing,prefixed,0.0,293.0,283.0,5.5062,5
32_bing,prefixed,0.0,736.0,739.0,5.5062,6
32_bing,prefixed,0.0,498.0,280.0,6.184090800000001,7
32_bing,prefixed,0.0,1119.0,1122.0,6.184090800000001,8
32_bing,prefixed,0.0,630.0,279.0,5.428781999999999,9
33_office,prefixed,0.0,1064.0,715.0,8.715528,0
33_office,prefixed,0.0,2808.0,3006.0,12.805848,1
33_office,prefixed,0.0,1249.0,1631.0,12.805848,2
33_office,prefixed,0.0,379.0,799.0,41.051123999999994,3
33_office,prefixed,0.0,814.0,756.0,12.5570088,4
33_office,prefixed,0.0,566.0,1018.0,8.6388444,5
33_office,prefixed,0.0,733.0,884.0,81.76896,6
33_office,prefixed,0.0,420.0,681.0,8.935775999999999,7
35_goo,prefixed,0.0,162.0,396.0,6.733296,0
35_goo,prefixed,0.0,1731.0,3978.0,10.162872,1
35_goo,prefixed,0.0,1486.0,4006.0,10.162872,2
35_goo,prefixed,0.0,170.0,447.0,9.6078528,3
35_goo,prefixed,0.0,543.0,796.0,9.6078528,4
35_goo,prefixed,0.0,169.0,421.0,6.434388,5
35_goo,prefixed,0.0,420.0,532.0,9.6078528,6
35_goo,prefixed,0.0,189.0,462.0,6.3571824,7
35_goo,prefixed,0.0,331.0,610.0,6.434388,8
35_goo,prefixed,0.0,344.0,752.0,6.782043600000001,9
36_github,prefixed,0.0,0.0,2153.0,11.24838,0
36_github,prefixed,0.0,599.0,1354.0,8.953556399999998,1
36_github,prefixed,0.0,209.0,5329.0,8.953556399999998,2
36_github,prefixed,0.0,408.0,2102.0,12.079411200000001,3
36_github,prefixed,0.0,404.0,2210.0,12.079411200000001,4
36_github,prefixed,0.0,366.0,2103.0,11.0306556,5
36_github,prefixed,0.0,3404.0,16292.0,11.0306556,6
36_github,prefixed,0.0,1122.0,1404.0,10.980936,7
36_github,prefixed,0.0,245.0,2362.0,10.980936,8
36_github,prefixed,0.0,702.0,1430.0,10.383120000000002,9
3_youtube,prefixed,0.0,357.0,4368.0,12.129372,0
3_youtube,prefixed,0.0,444.0,4363.0,11.547288,1
3_youtube,prefixed,0.0,332.0,4247.0,11.547288,2
3_youtube,prefixed,0.0,352.0,4438.0,11.1880116,3
3_youtube,prefixed,0.0,332.0,4538.0,11.1880116,4
3_youtube,prefixed,0.0,345.0,4518.0,12.1923,5
3_youtube,prefixed,0.0,7463.0,11698.0,12.1923,6
3_youtube,prefixed,0.0,606.0,4861.0,11.7387576,7
3_youtube,prefixed,0.0,369.0,6795.0,11.7387576,8
3_youtube,prefixed,0.0,587.0,13373.0,11.893392,9
41_wordpress,prefixed,0.0,374.0,523.0,6.465852,0
41_wordpress,prefixed,0.0,344.0,485.0,6.450119999999999,1
41_wordpress,prefixed,0.0,368.0,459.0,6.450119999999999,2
41_wordpress,prefixed,0.0,727.0,741.0,6.575976,3
41_wordpress,prefixed,0.0,434.0,551.0,6.575976,4
41_wordpress,prefixed,0.0,342.0,516.0,6.76476,5
41_wordpress,prefixed,0.0,362.0,489.0,6.575976,6
41_wordpress,prefixed,0.0,997.0,1009.0,6.4988028,7
41_wordpress,prefixed,0.0,1200.0,1305.0,6.76476,8
41_wordpress,prefixed,0.0,4927.0,7778.0,6.5130479999999995,9
42_vk,prefixed,0.0,0.0,1961.0,8.872848,0
42_vk,prefixed,0.0,636.0,1983.0,9.627984000000001,1
42_vk,prefixed,0.0,379.0,2369.0,9.627984000000001,2
42_vk,prefixed,0.0,222.0,6391.0,9.614451599999999,3
42_vk,prefixed,0.0,379.0,1856.0,9.614451599999999,4
42_vk,prefixed,0.0,420.0,4353.0,8.874878399999998,5
42_vk,prefixed,0.0,386.0,6323.0,13.296581999999999,6
42_vk,prefixed,0.0,410.0,2779.0,32.100624,7
42_vk,prefixed,0.0,1769.0,19154.0,8.874878399999998,8
44_tumblr,prefixed,0.0,339.0,771.0,7.755876,0
44_tumblr,prefixed,0.0,326.0,761.0,7.677216,1
44_tumblr,prefixed,0.0,324.0,774.0,7.677216,2
44_tumblr,prefixed,0.0,464.0,909.0,7.834536000000001,3
44_tumblr,prefixed,0.0,2888.0,5505.0,7.834536000000001,4
44_tumblr,prefixed,0.0,313.0,787.0,7.899271200000001,5
44_tumblr,prefixed,0.0,1880.0,3239.0,7.899271200000001,6
44_tumblr,prefixed,0.0,2014.0,2967.0,16.353792,7
44_tumblr,prefixed,0.0,307.0,740.0,16.353792,8
44_tumblr,prefixed,0.0,528.0,981.0,8.18064,9
48_mozilla,prefixed,0.0,405.0,605.0,7.2541116,0
48_mozilla,prefixed,0.0,2268.0,2660.0,10.257264000000001,1
