Website,Treatment,FP,FCP,LT,Joules,Trial
100_who,prefixed,1661.1,1764.4,2892.0,10.223460000000001,0
100_who,prefixed,2177.4,3065.0,3133.0,6.733296,1
100_who,prefixed,1394.1,1394.1,2175.0,4.847673599999999,2
100_who,prefixed,1084.4,1151.0,2057.0,7.977949200000001,3
100_who,prefixed,1106.8,1133.2,2062.0,6.041088,4
100_who,prefixed,1246.3,1293.1,2482.0,8.1982476,5
100_who,prefixed,1103.3,1173.8,2224.0,6.1211484,6
100_who,prefixed,1133.5,1133.6,2159.0,6.341446800000001,7
100_who,prefixed,1223.4,1223.5,2339.0,6.089677200000001,8
10_linkedin,prefixed,2255.5,2255.5,871.0,5.380344000000001,0
10_linkedin,prefixed,829.2,829.3,444.0,10.2596112,1
10_linkedin,prefixed,605.6,749.7,473.0,3.9127536000000003,2
10_linkedin,prefixed,722.5,722.6,426.0,3.2572691999999996,3
10_linkedin,prefixed,549.1,549.3,483.0,3.3516828,4
10_linkedin,prefixed,636.0,636.1,469.0,3.9662783999999998,5
10_linkedin,prefixed,703.8,703.8,414.0,3.1313844,6
10_linkedin,prefixed,480.3,490.5,450.0,3.3516828,7
10_linkedin,prefixed,576.7,637.1,441.0,3.3359471999999997,8
10_linkedin,prefixed,666.0,758.6,406.0,3.3831539999999998,9
14_apple,prefixed,1622.0,1622.1,2601.0,5.697590399999999,0
14_apple,prefixed,1146.0,1231.1,2217.0,6.796224,1
14_apple,prefixed,2851.8,2851.9,3397.0,8.8274016,2
14_apple,prefixed,1257.4,1700.8,2269.0,4.829724,3
14_apple,prefixed,1150.7,1240.1,2281.0,5.207292,4
14_apple,prefixed,1170.9,1299.1,2408.0,6.3901152,5
14_apple,prefixed,637.8,637.9,2110.0,5.051127600000001,6
14_apple,prefixed,1183.6,1183.8,2104.0,6.0123744,7
14_apple,prefixed,2591.1,2591.1,3281.0,5.6031552,8
15_live,prefixed,6652.1,6652.1,6754.0,21.73752,0
15_live,prefixed,658.3,658.3,752.0,9.8873568,1
15_live,prefixed,737.8,737.9,804.0,3.776544,2
15_live,prefixed,540.0,540.1,662.0,4.060713600000001,3
15_live,prefixed,608.9,609.0,611.0,3.7136016000000005,4
15_live,prefixed,545.1,545.2,639.0,3.634092,5
15_live,prefixed,799.1,799.2,913.0,4.5014112,6
15_live,prefixed,687.3,722.9,700.0,3.9024288,7
17_yahoo,prefixed,6395.5,6506.1,7260.0,9.3741264,0
17_yahoo,prefixed,738.4,810.3,1917.0,5.444927999999999,1
17_yahoo,prefixed,1544.0,1603.9,2804.0,6.6688415999999995,2
17_yahoo,prefixed,989.4,1054.2,2149.0,7.238376000000001,3
17_yahoo,prefixed,737.7,796.4,1915.0,5.224219199999999,4
17_yahoo,prefixed,707.8,768.2,1816.0,5.254488000000001,5
17_yahoo,prefixed,719.0,773.6,1894.0,5.255690400000001,6
17_yahoo,prefixed,682.7,745.7,1686.0,5.477241599999999,7
17_yahoo,prefixed,684.7,735.7,1676.0,5.5231956,8
17_yahoo,prefixed,692.4,760.4,1719.0,7.0441488,9
18_amazon,prefixed,649.5,649.5,1691.0,6.277068000000001,0
18_amazon,prefixed,627.1,627.1,1757.0,5.827752,1
18_amazon,prefixed,578.0,578.1,1919.0,5.993892,2
18_amazon,prefixed,655.9,656.0,2869.0,8.149175999999999,3
18_amazon,prefixed,501.5,501.6,1861.0,4.642002,4
18_amazon,prefixed,647.9,706.1,1683.0,6.058205999999999,5
18_amazon,prefixed,480.3,490.5,1924.0,5.757912,6
18_amazon,prefixed,475.8,475.9,1990.0,5.5389311999999995,7
18_amazon,prefixed,686.4,686.6,2725.0,8.9220852,8
19_doubleclick,prefixed,531.5,531.6,1432.0,4.075574400000001,0
19_doubleclick,prefixed,499.1,499.1,1260.0,3.9653712,1
19_doubleclick,prefixed,507.9,507.9,4016.0,6.6561588,2
19_doubleclick,prefixed,1405.1,1405.2,2156.0,4.3587612,3
19_doubleclick,prefixed,669.0,669.2,1451.0,3.98412,4
19_doubleclick,prefixed,555.2,555.3,1303.0,5.11407,5
19_doubleclick,prefixed,573.1,573.2,1118.0,3.9199572000000003,6
19_doubleclick,prefixed,700.8,701.4,1989.0,4.420692000000001,7
19_doubleclick,prefixed,569.6,569.7,1415.0,4.2800832,8
22_adobe,prefixed,817.9,818.0,1569.0,4.338180000000001,0
22_adobe,prefixed,1167.7,1167.8,1514.0,5.287161600000001,1
22_adobe,prefixed,665.1,665.3,1946.0,4.480541999999999,2
22_adobe,prefixed,731.8,731.9,1557.0,4.497649200000001,3
22_adobe,prefixed,492.5,492.7,1446.0,4.2486120000000005,4
22_adobe,prefixed,624.7,624.9,1710.0,4.2653232,5
22_adobe,prefixed,740.5,740.5,1590.0,4.737499199999999,6
22_adobe,prefixed,684.2,684.3,1540.0,4.3324632,7
22_adobe,prefixed,570.8,570.8,1619.0,4.67208,8
29_wordpress,prefixed,507.0,507.1,1103.0,3.9968423999999994,0
29_wordpress,prefixed,465.0,465.3,1177.0,3.9487319999999992,1
29_wordpress,prefixed,760.8,760.8,7382.0,8.669656800000002,2
29_wordpress,prefixed,1504.0,1504.1,1662.0,4.636692,3
29_wordpress,prefixed,748.2,748.3,1187.0,4.421703600000001,4
29_wordpress,prefixed,781.6,781.7,1195.0,5.0488164,5
29_wordpress,prefixed,750.6,750.7,1195.0,4.09032,6
29_wordpress,prefixed,530.6,530.8,1113.0,4.012578,7
30_blogspot,prefixed,604.1,604.2,701.0,4.027392000000001,0
30_blogspot,prefixed,626.9,627.0,731.0,3.6183600000000005,1
30_blogspot,prefixed,569.4,569.5,692.0,3.8709576,2
30_blogspot,prefixed,513.8,513.9,645.0,4.421703600000001,3
30_blogspot,prefixed,476.1,476.2,616.0,3.0765096,4
30_blogspot,prefixed,535.0,535.1,621.0,3.4941024,5
30_blogspot,prefixed,538.9,539.0,708.0,3.14712,6
30_blogspot,prefixed,544.1,544.2,606.0,3.1628556,7
32_bing,prefixed,512.1,512.2,516.0,3.9608352,0
32_bing,prefixed,458.8,458.8,555.0,2.9418840000000004,1
32_bing,prefixed,721.9,722.0,579.0,3.9181643999999998,2
32_bing,prefixed,1257.8,1257.9,694.0,2.8638791999999995,3
32_bing,prefixed,517.2,517.3,518.0,5.822172,4
32_bing,prefixed,496.9,497.0,500.0,2.9740284000000003,5
32_bing,prefixed,515.2,515.2,628.0,3.067038,6
32_bing,prefixed,563.7,563.8,727.0,4.511984399999999,7
32_bing,prefixed,693.7,763.3,624.0,3.068442,8
33_office,prefixed,570.4,570.7,1657.0,4.9409784,0
33_office,prefixed,620.5,620.6,1831.0,5.224219199999999,1
33_office,prefixed,648.4,648.5,1746.0,6.6561588,2
33_office,prefixed,631.3,631.4,2282.0,5.3973108000000005,3
33_office,prefixed,563.3,563.4,1646.0,4.9095072,4
33_office,prefixed,611.3,611.4,3367.0,6.182676000000001,5
33_office,prefixed,631.7,631.8,1727.0,4.9252427999999995,6
33_office,prefixed,863.5,863.6,3182.0,5.8379076,7
33_office,prefixed,625.9,626.0,2380.0,5.224219199999999,8
33_office,prefixed,629.3,629.4,2602.0,5.4602531999999995,9
35_goo,prefixed,472.2,472.3,552.0,3.1793184,0
35_goo,prefixed,587.0,587.1,665.0,3.2887404,1
35_goo,prefixed,478.3,478.4,649.0,3.6663948000000004,2
35_goo,prefixed,1121.9,1122.1,578.0,3.4775676,3
35_goo,prefixed,500.0,500.1,636.0,5.4427248,4
35_goo,prefixed,519.9,520.0,653.0,3.4138439999999997,5
35_goo,prefixed,492.5,492.7,600.0,3.335184,6
35_goo,prefixed,566.3,566.4,721.0,3.2250599999999996,7
35_goo,prefixed,516.0,516.1,733.0,3.4138439999999997,8
35_goo,prefixed,512.5,512.6,738.0,3.10752,9
36_github,prefixed,844.8,1189.1,1828.0,4.4745696,0
36_github,prefixed,3796.1,3796.2,4641.0,7.317054,1
36_github,prefixed,4336.4,4336.5,7498.0,9.095176799999999,2
36_github,prefixed,564.2,564.2,1898.0,4.4227152,3
36_github,prefixed,691.9,692.0,1980.0,4.9881852,4
36_github,prefixed,593.4,593.5,1839.0,4.467887999999999,5
36_github,prefixed,852.2,852.4,1850.0,4.8465648,6
36_github,prefixed,480.3,490.5,1893.0,5.035392,7
36_github,prefixed,1199.0,1199.1,1819.0,5.1770124,8
36_github,prefixed,2591.1,2591.1,1884.0,4.799358,9
3_youtube,prefixed,1006.8,1006.9,5669.0,7.205256,0
3_youtube,prefixed,627.0,627.1,5222.0,6.4201248,1
3_youtube,prefixed,663.4,691.7,4216.0,6.1211484,2
3_youtube,prefixed,600.9,601.0,3933.0,5.647788,3
3_youtube,prefixed,602.1,602.2,4198.0,5.743494,4
3_youtube,prefixed,613.4,613.5,4426.0,6.3571824,5
3_youtube,prefixed,580.2,580.3,4152.0,5.616324,6
3_youtube,prefixed,574.6,574.7,4216.0,5.710716,7
41_wordpress,prefixed,794.0,794.1,1032.0,3.7040219999999997,0
41_wordpress,prefixed,768.5,768.5,1055.0,3.4933032,1
41_wordpress,prefixed,774.8,774.9,1041.0,3.430152,2
41_wordpress,prefixed,853.8,853.8,1060.0,6.451596,3
41_wordpress,prefixed,770.5,770.6,1071.0,3.8866932000000003,4
41_wordpress,prefixed,1067.2,1067.2,6499.0,10.210068,5
41_wordpress,prefixed,819.0,819.0,1082.0,3.6663948000000004,6
41_wordpress,prefixed,833.8,833.9,1108.0,3.8237507999999996,7
41_wordpress,prefixed,815.4,815.5,1067.0,3.5538048000000004,8
42_vk,prefixed,3856.2,3856.3,5734.0,9.362682,0
42_vk,prefixed,2408.1,2408.2,4389.0,10.7631504,1
42_vk,prefixed,2433.6,2433.6,4472.0,8.9766144,2
42_vk,prefixed,2357.2,2357.4,4222.0,8.528695200000001,3
42_vk,prefixed,2089.8,2089.8,4036.0,8.7489936,4
42_vk,prefixed,2438.2,2438.3,4380.0,8.794188000000002,5
42_vk,prefixed,2564.9,2565.0,4476.0,8.4519504,6
42_vk,prefixed,2671.0,2671.0,4345.0,7.8974639999999985,7
42_vk,prefixed,2792.0,2792.1,4484.0,8.7962004,8
44_tumblr,prefixed,3928.2,3928.4,9531.0,11.9713248,0
44_tumblr,prefixed,588.6,588.7,1076.0,3.9378851999999998,1
