Website,Treatment,FP,FCP,LT,Joules,Trial
100_who,prefixed,0,881,2549,10.4412672,0
100_who,prefixed,0,1045,2628,10.965204,1
100_who,prefixed,0,878,2238,9.913428,2
100_who,prefixed,0,9711,19414,28.47492,3
100_who,prefixed,0,834,2763,10.257264,4
100_who,prefixed,0,4967,13270,18.56376,5
100_who,prefixed,0,1135,2603,11.64168,6
100_who,prefixed,0,12079,18911,18.88272,7
100_who,prefixed,0,4599,4687,14.599296,8
10_linkedin,prefixed,0,549,459,7.205256,0
10_linkedin,prefixed,0,274,362,7.189524,1
10_linkedin,prefixed,0,404,391,6.890616,2
10_linkedin,prefixed,0,1575,1544,8.684064,3
10_linkedin,prefixed,0,170,341,7.0338132,4
10_linkedin,prefixed,0,349,318,7.2226404,5
10_linkedin,prefixed,0,828,796,8.4461508,6
10_linkedin,prefixed,0,399,370,8.3083968,7
10_linkedin,prefixed,0,1294,1262,9.580788,8
14_apple,prefixed,0,795,1224,9.8325,0
14_apple,prefixed,0,1787,2021,12.475476,1
14_apple,prefixed,0,836,1181,8.7928272,2
14_apple,prefixed,0,761,1186,8.400888,3
14_apple,prefixed,0,1044,1428,9.8032788,4
14_apple,prefixed,0,1560,1888,11.830464,5
14_apple,prefixed,0,760,1215,9.470664,6
14_apple,prefixed,0,888,1200,10.149462,7
14_apple,prefixed,0,1426,1797,9.8662212,8
14_apple,prefixed,0,2731,3075,21.547908,9
15_live,prefixed,0,408,317,6.923664,0
15_live,prefixed,0,371,377,6.5932164,1
15_live,prefixed,0,1025,1033,10.3964724,2
15_live,prefixed,0,1031,1039,12.5856,3
15_live,prefixed,0,411,426,8.243568,4
15_live,prefixed,0,710,722,9.974088,5
15_live,prefixed,0,245,392,6.5617452,6
15_live,prefixed,0,296,307,7.4429388,7
17_yahoo,prefixed,0,2146,3127,16.20396,0
17_yahoo,prefixed,0,629,1412,11.4057,1
17_yahoo,prefixed,0,643,1377,11.924856,2
17_yahoo,prefixed,0,5525,6427,18.88272,3
17_yahoo,prefixed,0,2164,2986,14.5660536,4
17_yahoo,prefixed,0,590,1508,11.6758152,5
17_yahoo,prefixed,0,565,1476,12.9661344,6
17_yahoo,prefixed,0,1370,2124,15.178752,7
17_yahoo,prefixed,0,684,1359,13.1706972,8
17_yahoo,prefixed,0,1886,2734,18.88704,9
18_amazon,prefixed,0,549,1181,8.511012,0
18_amazon,prefixed,0,322,1263,8.400888,1
18_amazon,prefixed,0,2864,3354,18.559512,2
18_amazon,prefixed,0,239,1179,8.5424976,3
18_amazon,prefixed,0,2164,1457,14.5396944,4
18_amazon,prefixed,0,809,1876,30.841776,5
18_amazon,prefixed,0,415,1232,9.7358796,6
18_amazon,prefixed,0,572,1207,13.938552,7
19_doubleclick,prefixed,0,11112,11190,29.268216,0
19_doubleclick,prefixed,0,284,1044,7.614288,1
19_doubleclick,prefixed,0,6299,6411,15.307236,2
19_doubleclick,prefixed,0,3167,6320,11.5184592,3
19_doubleclick,prefixed,0,634,1429,7.8363288,4
19_doubleclick,prefixed,0,169,2768,8.8276716,5
19_doubleclick,prefixed,0,2337,6567,9.985248,6
19_doubleclick,prefixed,0,502,1600,7.582824,7
19_doubleclick,prefixed,0,1283,2772,12.3939792,8
22_adobe,prefixed,0,408,1164,7.641648,0
22_adobe,prefixed,0,332,1134,7.47441,1
22_adobe,prefixed,0,710,1310,7.661484,2
22_adobe,prefixed,0,1418,1772,8.7647292,3
22_adobe,prefixed,0,532,1143,7.6911876,4
22_adobe,prefixed,0,324,1136,7.724412,5
22_adobe,prefixed,0,1474,1830,11.043864,6
22_adobe,prefixed,0,5916,5264,15.499314,7
22_adobe,prefixed,0,404,1726,7.614288,8
22_adobe,prefixed,0,379,4140,12.4153884,9
23_youtu,prefixed,0,329,4273,11.7702288,0
23_youtu,prefixed,0,333,4232,11.56302,1
23_youtu,prefixed,0,547,8683,13.167684,2
23_youtu,prefixed,0,414,4471,11.7544932,3
23_youtu,prefixed,0,342,4287,11.9394864,4
23_youtu,prefixed,0,350,4310,11.517228,5
23_youtu,prefixed,0,310,6042,12.853044,6
23_youtu,prefixed,0,7515,21785,28.16028,7
23_youtu,prefixed,0,679,4781,11.5887024,8
29_wordpress,prefixed,0,335,636,8.5601664,0
29_wordpress,prefixed,0,2433,1387,9.533592,1
29_wordpress,prefixed,0,209,670,8.49528,2
29_wordpress,prefixed,0,3065,4545,11.0124,3
29_wordpress,prefixed,0,885,4319,17.370612,4
29_wordpress,prefixed,0,284,649,8.715528,5
29_wordpress,prefixed,0,1044,613,8.80992,6
29_wordpress,prefixed,0,850,3289,9.848232,7
29_wordpress,prefixed,0,5090,1320,8.9768052,8
29_wordpress,prefixed,0,658,3634,11.8592136,9
30_blogspot,prefixed,0,250,434,6.2928,0
30_blogspot,prefixed,0,734,825,14.646492,1
30_blogspot,prefixed,0,240,451,6.76476,2
30_blogspot,prefixed,0,261,453,6.37146,3
30_blogspot,prefixed,0,311,649,7.897464,4
30_blogspot,prefixed,0,1179,1327,18.815328,5
30_blogspot,prefixed,0,260,479,6.5404224,6
30_blogspot,prefixed,0,233,465,6.7206384,7
30_blogspot,prefixed,0,245,450,6.2928,8
30_blogspot,prefixed,0,496,571,7.39404,9
32_bing,prefixed,0,339,274,5.5062,0
32_bing,prefixed,0,404,305,5.4407808,1
32_bing,prefixed,0,1226,1237,7.220988,2
32_bing,prefixed,0,286,291,5.5062,3
32_bing,prefixed,0,281,286,6.1840908,4
32_bing,prefixed,0,293,283,5.428782,5
32_bing,prefixed,0,736,739,8.965188,6
32_bing,prefixed,0,498,280,5.364612,7
32_bing,prefixed,0,1119,1122,10.1651976,8
32_bing,prefixed,0,630,279,5.443272,9
33_office,prefixed,0,1064,715,8.715528,0
33_office,prefixed,0,2808,3006,12.805848,1
33_office,prefixed,0,1249,1631,12.5570088,2
33_office,prefixed,0,379,799,8.6388444,3
33_office,prefixed,0,814,756,8.935776,4
33_office,prefixed,0,566,1018,9.958356,5
33_office,prefixed,0,733,884,11.704608,6
33_office,prefixed,0,420,681,10.792152,7
35_goo,prefixed,0,162,396,6.733296,0
35_goo,prefixed,0,1731,3978,10.162872,1
35_goo,prefixed,0,1486,4006,9.6078528,2
35_goo,prefixed,0,170,447,6.434388,3
35_goo,prefixed,0,543,796,7.283916,4
35_goo,prefixed,0,169,421,6.3571824,5
35_goo,prefixed,0,420,532,6.7820436,6
35_goo,prefixed,0,189,462,6.5100672,7
35_goo,prefixed,0,331,610,8.070516,8
35_goo,prefixed,0,344,752,10.1582208,9
36_github,prefixed,0,0,2153,11.24838,0
36_github,prefixed,0,599,1354,8.9535564,1
36_github,prefixed,0,209,5329,12.0794112,2
36_github,prefixed,0,408,2102,11.0306556,3
36_github,prefixed,0,404,2210,10.980936,4
36_github,prefixed,0,366,2103,10.38312,5
36_github,prefixed,0,3404,16292,17.234208,6
36_github,prefixed,0,1122,1404,9.659448,7
36_github,prefixed,0,245,2362,11.8331712,8
36_github,prefixed,0,702,1430,9.863964,9
3_youtube,prefixed,0,357,4368,12.129372,0
3_youtube,prefixed,0,444,4363,11.547288,1
